product,date,avg_sentiment,frequency
air conditioner,2019-1,0.0,18
air conditioner,2019-2,0.34210526315789475,19
air conditioner,2020-2,0.2777777777777778,9
coffee machine ,2017-1,0.4285714285714286,7
coffee machine ,2017-2,0.0,14
coffee machine ,2018-1,0.10526315789473686,19
coffee machine ,2018-2,0.2142857142857143,7
coffee machine ,2019-1,0.10000000000000002,10
coffee machine ,2020-1,0.0,7
cooker,2017-1,0.19999999999999998,20
cooker,2017-2,0.28125000000000006,16
cooker,2018-1,0.17500000000000002,20
cooker,2018-2,0.18055555555555552,36
cooker,2019-1,0.19811320754716982,53
cooker,2019-2,0.19387755102040818,49
cooker,2020-1,0.12,25
cooker,2020-2,0.12,25
dishwasher,2017-1,0.1520692974013474,1039
dishwasher,2017-2,0.1837248322147649,1192
dishwasher,2018-1,0.17480842911877406,1044
dishwasher,2018-2,0.22685571309424504,1199
dishwasher,2019-1,0.20947123765252734,1721
dishwasher,2019-2,0.21180766889835664,1643
dishwasher,2020-1,0.2385057471264367,1392
dishwasher,2020-2,0.22841965471447548,753
dryer,2017-1,0.1424581005586593,716
dryer,2017-2,0.14717741935483877,496
dryer,2018-1,0.21584038694074978,827
dryer,2018-2,0.19397463002114163,946
dryer,2019-1,0.17218987908643094,2233
dryer,2019-2,0.17696629213483134,1424
dryer,2020-1,0.16378689704823618,1389
dryer,2020-2,0.25706940874035983,389
fridge freezer,2017-1,0.14067796610169486,590
fridge freezer,2017-2,0.18434873949579836,952
fridge freezer,2018-1,0.18129988597491464,877
fridge freezer,2018-2,0.16681299385425832,1139
fridge freezer,2019-1,0.17628205128205113,1404
fridge freezer,2019-2,0.18173987941429787,2322
fridge freezer,2020-1,0.17310996563573908,1164
fridge freezer,2020-2,0.15181660899653993,1156
hob,2017-1,0.1108433734939759,415
hob,2017-2,0.15274151436031333,383
hob,2018-1,0.1250000000000001,516
hob,2018-2,0.14510779436152568,603
hob,2019-1,0.1769570011025361,907
hob,2019-2,0.15851955307262575,716
hob,2020-1,0.1871019108280256,628
hob,2020-2,0.17079207920792064,404
hood,2017-1,0.0,14
hood,2017-2,0.3181818181818182,11
hood,2018-1,0.33333333333333337,18
hood,2018-2,0.09259259259259259,27
hood,2019-1,0.1984126984126984,63
hood,2019-2,0.1875,8
hood,2020-1,0.2,10
iron,2017-2,0.0,6
iron,2018-1,0.25000000000000006,8
iron,2019-1,0.33333333333333337,6
juice extractor,2017-1,0.06250000000000001,8
juice extractor,2017-2,0.13333333333333333,15
juice extractor,2018-2,0.08333333333333334,6
microwave oven,2017-1,0.11250000000000003,160
microwave oven,2017-2,0.146288209606987,229
microwave oven,2018-1,0.15264797507788166,321
microwave oven,2018-2,0.15000000000000008,330
microwave oven,2019-1,0.12968299711815573,694
microwave oven,2019-2,0.14786967418546365,399
microwave oven,2020-1,0.12729658792650908,381
microwave oven,2020-2,0.1405405405405406,185
oven,2017-1,0.14242424242424245,495
oven,2017-2,0.1252983293556085,419
oven,2018-1,0.1586134453781515,476
oven,2018-2,0.17589576547231256,614
oven,2019-1,0.18142548596112296,926
oven,2019-2,0.18181818181818207,814
oven,2020-1,0.23214285714285707,728
oven,2020-2,0.18249999999999994,400
refrigerator,2017-1,0.11428571428571434,105
refrigerator,2017-2,0.1479289940828402,169
refrigerator,2018-1,0.1717791411042944,163
refrigerator,2018-2,0.07592592592592597,270
refrigerator,2019-1,0.14719626168224298,214
refrigerator,2019-2,0.18055555555555566,324
refrigerator,2020-1,0.17829457364341095,129
refrigerator,2020-2,0.2101449275362319,138
washer,2017-1,0.17529215358931546,1797
washer,2017-2,0.22449664429530217,1490
washer,2018-1,0.22386296515062043,1693
washer,2018-2,0.19378378378378416,1850
washer,2019-1,0.24483996410409792,3343
washer,2019-2,0.2657472978009695,2683
washer,2020-1,0.24696356275303627,2223
washer,2020-2,0.2347639484978542,1165
washerdryer,2017-1,0.14900662251655633,302
washerdryer,2017-2,0.1915322580645162,248
washerdryer,2018-1,0.20486111111111102,288
washerdryer,2018-2,0.20363636363636375,275
washerdryer,2019-1,0.18670309653916214,549
washerdryer,2019-2,0.22718253968253968,504
washerdryer,2020-1,0.251295336787565,386
washerdryer,2020-2,0.29166666666666685,144
